id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
99-4094901,A,Clarisse,Vuittet,F,1977-06-18,United States,Training,24672,0.43,4215.0,1.0
26-6370584,A,Ludovico,Priestner,M,2006-04-19,United States,Sales,27779,0.18,,
52-7669688,A,Hunfredo,Carwithen,M,1979-10-05,United States,Product Management,20198,0.9,7063.0,1.0
09-6282213,A,Stacie,Rzehor,F,1986-06-17,United States,Accounting,75526,0.96,,
98-6095003,A,Alison,Ikringill,F,1984-12-26,United States,Business Development,42595,0.41,20314.0,2.0
97-1407392,A,Broddy,Featherston,M,2000-12-22,United States,Training,14791,0.46,20955.0,2.0
65-8192629,A,Bonni,Mattevi,F,2006-07-06,United States,Training,79834,0.76,,
04-1781862,A,Grenville,House,M,2001-08-15,United States,Training,31139,0.48,,
36-8995736,A,Shelby,Greensite,F,1982-01-03,United States,Product Management,59525,0.24,,
82-1705092,A,Diane-marie,Peachment,F,1991-11-03,United States,Engineering,42886,0.86,8869.0,1.0
