id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
93-6058074,C,Alden,Poone,M,1985-01-02,United States,Support,32860,0.21,6851.0,1.0
87-0840678,C,Marchelle,Bayman,F,1987-03-14,United States,Accounting,21597,0.86,,
04-3513015,C,Katee,Laviste,F,1978-09-18,United States,Legal,60236,0.99,12810.0,1.0
77-1965576,C,Sawyere,Jimmison,M,1975-09-05,Italy,Engineering,79871,0.62,5553.0,1.0
13-9631853,C,Christin,Bowlesworth,F,1976-10-14,United States,Sales,78710,0.63,,
07-1716470,C,Cristin,Siddens,F,1977-04-10,United States,Human Resources,26207,0.62,,
33-9247082,C,Ewan,Killoran,M,1989-07-03,United States,Marketing,47572,0.87,5727.0,1.0
04-5323286,C,Joelie,List,F,1999-09-12,United States,Research and Development,59465,0.53,,
10-0019811,C,Tulley,Giacobillo,M,1994-04-23,United States,Sales,78041,0.71,3875.0,1.0
65-9086309,C,Teddie,Durbann,M,1986-01-09,United States,Marketing,42928,0.26,,
