id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
78-5459961,D,Chrystel,Aikman,F,1986-04-22,United States,Product Management,37140,0.77,,
91-9571840,D,Joell,Dancy,F,2001-09-17,United States,Training,74899,0.76,,
72-1063019,D,Andrus,Du Hamel,M,1980-09-11,Dominican Republic,Support,22927,0.4,,
98-4636124,D,Myrle,Ledwich,F,2000-12-16,United States,Business Development,34191,0.08,20428.0,2.0
34-2320398,D,Patin,Local,M,1998-09-04,United States,Engineering,50737,0.08,,
04-7509835,D,Lishe,Dowty,F,2002-07-06,United States,Business Development,36130,0.35,,
19-7854964,D,Sheffield,Gration,M,1983-07-17,United States,Training,28484,0.5,,
44-3478985,D,Aurilia,Loggie,F,1979-03-07,United States,Human Resources,59739,0.37,7076.0,1.0
04-2721911,D,Barth,Hyrons,M,1999-07-20,United States,Sales,26721,0.41,5704.0,1.0
90-3763598,D,Sharlene,Chellam,F,1989-10-30,Italy,Human Resources,53398,0.93,12554.0,2.0
