id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
93-3232477,E,Marylin,Brilon,F,1999-09-06,United States,Research and Development,28203,0.48,15941.0,2.0
73-1937833,E,Hoebart,Murfill,M,1997-09-15,Haiti,Human Resources,74701,0.2,4034.0,1.0
50-3148448,E,Shel,Bilbery,F,1997-05-16,Italy,Services,65303,0.66,8803.0,1.0
14-9023897,E,Karia,de Clerc,F,2004-02-04,United States,Product Management,29358,0.47,,
00-8314362,E,Ciro,Batie,M,1983-10-08,Haiti,Business Development,52502,0.14,,
58-3345781,E,Jozef,Gawthorp,M,1992-06-20,United States,Business Development,49155,0.11,,
27-7801766,E,Perri,Rosenhaus,F,1978-11-07,United States,Research and Development,12590,0.13,,
44-6549641,E,Amanda,Masedon,F,1976-10-04,United States,Accounting,54437,0.27,,
87-7210605,E,Alley,Smewin,M,1976-01-30,Italy,Human Resources,56349,0.08,10148.0,1.0
66-1008276,E,Daveen,Proffitt,F,1981-02-27,United States,Support,72176,0.91,25623.0,2.0
