id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
97-6655926,F,Heywood,Speaks,M,2003-07-05,United States,Legal,75816,0.66,15260.0,2.0
79-3781698,F,Rutledge,Slora,M,1988-09-02,United States,Legal,33180,0.13,10258.0,2.0
15-2318490,F,Jenifer,Carder,F,1992-11-01,United States,Human Resources,54507,0.89,,
86-2640869,F,Ryun,Patterfield,M,1998-02-07,Dominican Republic,Sales,40650,0.2,,
51-3662457,F,Heindrick,Scarr,M,1981-03-28,United States,Engineering,22070,0.98,19348.0,2.0
02-4260277,F,Emanuel,Bothams,M,2002-12-22,Dominican Republic,Marketing,21108,0.64,,
18-9731608,F,Consuela,Dumini,F,1975-10-15,Haiti,Accounting,60222,0.93,,
81-6787276,F,Lezley,Honywill,M,1988-01-24,United States,Product Management,62677,0.04,,
15-7972653,F,Waverley,Belcher,M,1998-04-27,United States,Human Resources,39906,0.15,,
36-5333346,F,Dianne,Brownsell,F,1996-08-22,United States,Research and Development,74469,0.38,14088.0,2.0
