id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
21-8439190,G,Chan,Bomb,M,1999-08-02,United States,Services,48983,0.1,,
62-9191738,G,Tonnie,Lafay,M,1979-04-26,Haiti,Engineering,44817,0.76,,
29-8881205,G,Fredek,Rulten,M,1992-03-27,United States,Marketing,38577,0.54,,
52-4537395,G,Deane,Fenton,F,1992-02-27,Dominican Republic,Product Management,77038,0.53,,
36-7630517,G,Sunny,Cansdell,F,1986-12-11,United States,Support,31601,0.16,10568.0,1.0
21-0517711,G,Jordan,Antao,M,1987-11-29,United States,Legal,37618,0.27,6007.0,1.0
69-0699283,G,Norma,Petrozzi,F,1987-06-01,United States,Sales,73149,0.26,13484.0,1.0
99-3140169,G,Frankie,Kipling,M,1979-05-16,United States,Sales,22505,0.2,,
84-9995228,G,Roi,Cozins,M,1984-04-06,Dominican Republic,Legal,13438,0.55,,
78-5368317,G,Tommy,Lendrem,F,1989-02-18,United States,Research and Development,53312,0.43,,
