id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
35-6126375,H,Ulrick,Estoile,M,1990-02-04,United States,Sales,18704,0.78,,
43-5553068,H,Abie,Scurrey,M,1987-10-05,United States,Marketing,44652,0.51,19209.0,2.0
35-1306564,H,Helena,Pirazzi,F,1977-07-09,United States,Human Resources,36799,0.8,,
04-7088264,H,Tomlin,Gainseford,M,1987-12-06,United States,Human Resources,21271,0.34,,
16-5172594,H,Eli,Picard,M,1991-04-19,Haiti,Product Management,43402,0.16,14231.0,1.0
10-0613342,H,Datha,Greenhough,F,1978-08-01,United States,Accounting,39624,0.15,7535.0,1.0
99-7227153,H,Toddy,Targett,M,1978-02-25,United States,Sales,77459,0.31,,
23-0049207,H,Kattie,Cray,F,1991-11-02,United States,Sales,22294,0.3,,
22-5897994,H,Perkin,Cullagh,M,1984-02-27,United States,Business Development,29312,0.05,,
04-4510077,H,Gerald,Ossipenko,M,2003-02-13,Dominican Republic,Research and Development,13010,0.84,,
