id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
14-7026110,I,Eveline,Claughton,F,1989-08-15,United States,Marketing,46289,0.74,13105.0,1.0
99-8664666,I,Luis,Mulran,M,2005-09-10,United States,Training,14433,0.82,,
59-6399780,I,Wernher,Osbourn,M,1992-04-26,United States,Accounting,37458,0.6,6240.0,1.0
85-1089220,I,Frederico,Pigdon,M,2000-10-11,United States,Sales,35891,0.82,5787.0,1.0
77-1986918,I,Olivier,Khidr,M,2000-06-17,United States,Research and Development,70380,0.79,,
69-4732589,I,Madison,Torresi,M,1988-05-14,United States,Training,35892,0.41,,
44-3135439,I,Justine,Cardenas,F,1993-10-27,United States,Sales,25499,0.2,13295.0,1.0
33-4532106,I,Jilleen,Stebbings,F,1999-12-31,United States,Engineering,61688,0.21,,
62-4197235,I,Reynold,Sabater,M,1987-01-10,United States,Product Management,13879,0.7,30651.0,3.0
29-0623737,I,Nicolai,Mayward,M,1991-05-04,United States,Accounting,69571,0.74,13757.0,1.0
