id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
34-2007879,J,Rockie,Faro,M,1996-05-20,United States,Accounting,69317,0.52,22980.0,2.0
81-7606557,J,Dennie,Chatel,M,1983-05-04,United States,Human Resources,74713,0.26,9419.0,2.0
90-6094406,J,Ernestus,Braidley,M,1978-06-11,United States,Human Resources,55882,0.55,13617.0,1.0
47-9054500,J,Wyatt,Gregh,M,2005-12-01,United States,Accounting,26132,0.1,5896.0,1.0
75-8118408,J,Nannette,Abriani,F,1997-12-10,United States,Services,53959,0.54,10398.0,1.0
58-8445429,J,Beryle,Kenryd,F,2000-07-11,United States,Business Development,27234,0.12,,
91-1361758,J,Collete,Stiles,F,1999-07-19,United States,Research and Development,66996,0.67,,
56-6267907,J,Hallie,Alday,F,1998-11-14,United States,Sales,24200,0.08,16155.0,2.0
31-2236475,J,Ray,Sprackling,M,1980-05-06,United States,Accounting,41035,0.92,9454.0,1.0
29-7137664,J,Thaddeus,Fishbourne,M,2002-09-06,United States,Product Management,17805,0.26,,
