id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
40-5159364,K,Laurena,Basindale,F,1988-02-08,United States,Sales,27854,0.92,5188.0,1.0
43-8666961,K,Jone,Naul,M,1999-06-15,United States,Human Resources,32006,0.78,11650.0,1.0
08-3359811,K,Mina,Rosenfelt,F,2006-05-09,United States,Marketing,22759,0.97,5822.0,1.0
40-5480729,K,Artair,Kelson,M,1989-12-10,United States,Support,45212,0.72,,
64-9432037,K,Ody,Affuso,M,1991-07-07,Haiti,Human Resources,35484,0.98,,
85-2993638,K,Lucien,Mattschas,M,1982-10-29,United States,Services,74704,0.89,8766.0,1.0
79-7972239,K,Herminia,Brookfield,F,1991-05-03,United States,Engineering,63737,0.49,,
56-5604977,K,Ardyce,Gooderidge,F,2003-11-04,Haiti,Product Management,32247,0.28,,
53-5598738,K,Giulietta,Wigglesworth,F,1989-06-17,United States,Legal,68161,0.5,3882.0,1.0
95-3931114,K,Hilde,Symones,F,2001-03-15,Dominican Republic,Product Management,17295,0.25,6057.0,1.0
