id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
86-7566129,L,Brandyn,Wraggs,M,1980-04-17,United States,Training,17427,0.86,7399.0,1.0
05-5140393,L,Dennis,Stanlock,M,1982-08-21,United States,Support,64352,0.05,9127.0,1.0
65-8990277,L,Janith,Fortoun,F,1980-01-12,United States,Engineering,78311,0.31,,
81-2555816,L,Erich,Zohrer,M,1989-01-16,United States,Services,43126,0.65,8816.0,1.0
32-7274154,L,Weidar,Iacopetti,M,1988-07-29,United States,Research and Development,38614,0.23,8136.0,1.0
82-8733224,L,Carmelle,Phelipeau,F,1982-09-13,United States,Sales,70284,0.97,8585.0,1.0
26-7750002,L,Maximilien,Alesio,M,2001-07-23,Dominican Republic,Human Resources,60440,0.76,12198.0,1.0
12-0301057,L,Bartholomeus,Bussons,M,1983-02-23,United States,Business Development,72516,0.61,19074.0,2.0
82-6624786,L,Rhetta,Pietruszewicz,F,1999-01-27,United States,Research and Development,18178,0.22,13853.0,1.0
30-9696679,L,Calley,MacCulloch,F,1984-10-31,United States,Engineering,41515,0.99,,
