id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
05-6134170,M,Gaylord,Hazeldene,M,2004-01-08,Dominican Republic,Research and Development,19993,0.86,3973.0,1.0
61-1074040,M,Thedrick,Dawdry,M,1990-09-05,United States,Legal,25098,0.71,,
71-5393627,M,Svend,Gramer,M,1984-06-28,Dominican Republic,Accounting,46710,0.7,12849.0,2.0
12-1816115,M,Leighton,Ramsbotham,M,1988-10-22,United States,Product Management,74901,0.19,6155.0,1.0
13-3806571,M,Granny,Pietranek,M,2005-07-07,United States,Engineering,38122,0.52,3692.0,1.0
94-4374770,M,Hans,Harbisher,M,1985-03-17,United States,Product Management,44740,0.81,,
18-4327173,M,Zacherie,Parke,M,1995-08-17,United States,Sales,71543,0.33,8874.0,1.0
50-9573003,M,Pegeen,Salzburg,F,1986-05-13,United States,Sales,28041,0.97,18492.0,2.0
33-0381277,M,Walker,Pelling,M,1980-02-12,United States,Human Resources,30857,0.38,5591.0,1.0
75-8628421,M,Frieda,Pybus,F,2006-05-06,United States,Training,53102,0.06,,
