id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,monto_ventas,cant_ventas
34-0256472,O,Carin,Coleyshaw,F,1996-01-13,United States,Support,46481,0.96,,
97-1323311,O,Hildagard,Insko,F,1975-11-04,United States,Human Resources,51110,0.18,,
35-2698868,O,Mora,Kinnin,F,2002-11-26,United States,Accounting,67335,0.5,,
97-2136523,O,Zulema,Dabbes,F,1978-07-27,Dominican Republic,Services,33618,0.0,,
80-2822904,O,Jill,Juan,F,1991-12-04,United States,Accounting,24012,0.08,,
58-3268041,O,Kristal,Kingcote,F,2001-10-11,Dominican Republic,Research and Development,19715,0.76,5542.0,1.0
90-3827618,O,Otho,Caselli,M,1985-11-15,United States,Services,29267,0.58,,
78-9151673,O,Rupert,Barsby,M,1986-04-15,Haiti,Legal,55874,0.98,22891.0,3.0
70-8330847,O,Dmitri,Delucia,M,1993-10-24,United States,Marketing,48442,0.67,11771.0,1.0
38-7030185,O,Jocelyn,Crees,F,1982-04-16,United States,Accounting,20398,0.32,,
