id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
99-4094901,A,Clarisse,Vuittet,F,1977-06-18,United States,Training,24672,0.43,cvuittet0@businessweek.com,7571063213,Associate Professor,3 Evergreen Circle,2021-08-17
26-6370584,A,Ludovico,Priestner,M,2006-04-19,United States,Sales,27779,0.18,lpriestner1@tinypic.com,5854735002,Research Associate,57 Scoville Street,2022-09-25
52-7669688,A,Hunfredo,Carwithen,M,1979-10-05,United States,Product Management,20198,0.9,hcarwithen2@xrea.com,6103367739,Editor,1 Bay Center,2022-03-14
09-6282213,A,Stacie,Rzehor,F,1986-06-17,United States,Accounting,75526,0.96,srzehor3@facebook.com,5718866132,Data Coordinator,2 Mesta Parkway,2019-01-18
98-6095003,A,Alison,Ikringill,F,1984-12-26,United States,Business Development,42595,0.41,aikringill4@state.tx.us,4233238044,Human Resources Assistant I,0875 Jenifer Court,2023-03-13
97-1407392,A,Broddy,Featherston,M,2000-12-22,United States,Training,14791,0.46,bfeatherston5@java.com,9016991051,Physical Therapy Assistant,89713 Hagan Junction,2019-10-10
65-8192629,A,Bonni,Mattevi,F,2006-07-06,United States,Training,79834,0.76,bmattevi6@dyndns.org,4099115520,Legal Assistant,7981 Mallard Junction,2021-01-10
04-1781862,A,Grenville,House,M,2001-08-15,United States,Training,31139,0.48,ghouse7@spotify.com,9011965232,Automation Specialist III,1 Katie Parkway,2023-08-19
36-8995736,A,Shelby,Greensite,F,1982-01-03,United States,Product Management,59525,0.24,sgreensite8@ucoz.com,3362319924,Food Chemist,1 Scott Crossing,2024-09-06
82-1705092,A,Diane-marie,Peachment,F,1991-11-03,United States,Engineering,42886,0.86,dpeachment9@sfgate.com,6195227062,Senior Cost Accountant,36 Fieldstone Crossing,2022-03-26
