id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
32-1677298,B,Celinka,Hullins,F,1983-09-02,Haiti,Services,65553,0.8,chullins0@wikia.com,9832668640,Geologist III,0817 Grasskamp Park,2021-02-12
18-4526273,B,Lalo,Lovstrom,M,1986-09-04,Italy,Research and Development,52760,0.79,llovstrom1@mac.com,2896221040,Social Worker,2958 Orin Terrace,2021-10-16
09-2503252,B,Karry,Richten,F,1975-05-18,United States,Marketing,28383,0.36,krichten2@tuttocitta.it,8169747184,Health Coach III,2230 Shoshone Drive,2022-04-13
24-8238298,B,Jelene,D'Avaux,F,1992-02-17,Dominican Republic,Training,14407,0.66,jdavaux3@marketwatch.com,8579029502,Health Coach III,6 Algoma Road,2021-11-16
89-4372466,B,Munmro,Powers,M,1994-05-29,United States,Sales,18809,0.07,mpowers4@altervista.org,7208158950,Structural Engineer,14590 Spohn Drive,2023-01-16
65-5729756,B,Mead,Laffoley-Lane,M,2006-10-17,United States,Human Resources,57369,0.26,mlaffoleylane5@ovh.net,7042522160,Mechanical Systems Engineer,029 Golf View Lane,2021-02-21
24-1068083,B,Daisi,Doel,F,1980-05-01,United States,Accounting,22986,0.78,ddoel6@blogs.com,4787203651,Assistant Professor,2 Towne Center,2022-04-25
69-9087468,B,Debi,Lounds,F,1985-08-13,United States,Engineering,58018,0.97,dlounds7@deviantart.com,9148777898,Design Engineer,03218 Kropf Avenue,2024-11-12
14-8312422,B,Nonah,Filipychev,F,1988-01-31,Haiti,Support,42026,0.23,nfilipychev8@archive.org,2861912105,Marketing Manager,1641 Summerview Hill,2021-06-10
23-0714269,B,Rodrigo,Shearston,M,2000-06-12,United States,Research and Development,77475,0.47,rshearston9@stanford.edu,5155035639,Health Coach II,76 Express Junction,2020-11-28
