id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
93-6058074,C,Alden,Poone,M,1985-01-02,United States,Support,32860,0.21,apoone0@flickr.com,8624335696,Professor,742 Sunfield Parkway,2020-04-15
87-0840678,C,Marchelle,Bayman,F,1987-03-14,United States,Accounting,21597,0.86,mbayman1@mac.com,6146153790,Assistant Media Planner,14304 North Place,2021-12-07
04-3513015,C,Katee,Laviste,F,1978-09-18,United States,Legal,60236,0.99,klaviste2@bloglovin.com,6081024008,Product Engineer,41 Carberry Place,2019-05-20
77-1965576,C,Sawyere,Jimmison,M,1975-09-05,Italy,Engineering,79871,0.62,sjimmison3@rambler.ru,4633216770,Clinical Specialist,366 Lawn Park,2019-11-25
13-9631853,C,Christin,Bowlesworth,F,1976-10-14,United States,Sales,78710,0.63,cbowlesworth4@barnesandnoble.com,8168257957,Nurse Practicioner,9754 Glendale Lane,2024-06-29
07-1716470,C,Cristin,Siddens,F,1977-04-10,United States,Human Resources,26207,0.62,csiddens5@timesonline.co.uk,7274912667,Associate Professor,01689 Barnett Junction,2019-04-04
33-9247082,C,Ewan,Killoran,M,1989-07-03,United States,Marketing,47572,0.87,ekilloran6@amazon.co.uk,2601841367,Systems Administrator II,17625 Helena Road,2024-10-11
04-5323286,C,Joelie,List,F,1999-09-12,United States,Research and Development,59465,0.53,jlist7@bloomberg.com,8136303828,Environmental Tech,96 Acker Road,2023-04-27
10-0019811,C,Tulley,Giacobillo,M,1994-04-23,United States,Sales,78041,0.71,tgiacobillo8@cnet.com,5622004058,Quality Control Specialist,58662 Esker Drive,2021-12-13
65-9086309,C,Teddie,Durbann,M,1986-01-09,United States,Marketing,42928,0.26,tdurbann9@yandex.ru,2123641684,Senior Sales Associate,8 Nova Park,2019-08-07
