id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
78-5459961,D,Chrystel,Aikman,F,1986-04-22,United States,Product Management,37140,0.77,caikman0@howstuffworks.com,7146621912,Internal Auditor,09 Schiller Park,2021-07-31
91-9571840,D,Joell,Dancy,F,2001-09-17,United States,Training,74899,0.76,jdancy1@ebay.com,4148613512,Internal Auditor,143 Sunfield Point,2020-04-04
72-1063019,D,Andrus,Du Hamel,M,1980-09-11,Dominican Republic,Support,22927,0.4,aduhamel2@utexas.edu,2511781870,Speech Pathologist,3 Cascade Park,2021-10-14
98-4636124,D,Myrle,Ledwich,F,2000-12-16,United States,Business Development,34191,0.08,mledwich3@cisco.com,7022286761,Web Designer II,788 Cherokee Point,2021-06-06
34-2320398,D,Patin,Local,M,1998-09-04,United States,Engineering,50737,0.08,plocal4@wunderground.com,5127834736,General Manager,17335 Towne Place,2021-03-26
04-7509835,D,Lishe,Dowty,F,2002-07-06,United States,Business Development,36130,0.35,ldowty5@fc2.com,6167258132,VP Product Management,6 8th Lane,2024-09-18
19-7854964,D,Sheffield,Gration,M,1983-07-17,United States,Training,28484,0.5,sgration6@123-reg.co.uk,2039839297,Software Test Engineer IV,75635 Sunfield Place,2024-01-12
44-3478985,D,Aurilia,Loggie,F,1979-03-07,United States,Human Resources,59739,0.37,aloggie7@xinhuanet.com,5627566644,Professor,16842 Miller Parkway,2019-07-08
04-2721911,D,Barth,Hyrons,M,1999-07-20,United States,Sales,26721,0.41,bhyrons8@slashdot.org,7131309673,Geological Engineer,81 Fuller Lane,2024-10-12
90-3763598,D,Sharlene,Chellam,F,1989-10-30,Italy,Human Resources,53398,0.93,schellam9@patch.com,2112535599,Graphic Designer,03236 Tony Center,2024-08-19
