id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
93-3232477,E,Marylin,Brilon,F,1999-09-06,United States,Research and Development,28203,0.48,mbrilon0@discovery.com,7274178337,Environmental Specialist,4042 Jackson Parkway,2019-04-04
73-1937833,E,Hoebart,Murfill,M,1997-09-15,Haiti,Human Resources,74701,0.2,hmurfill1@mail.ru,4998017306,VP Sales,00 Springview Park,2023-12-17
50-3148448,E,Shel,Bilbery,F,1997-05-16,Italy,Services,65303,0.66,sbilbery2@businesswire.com,4421855424,Chemical Engineer,30140 Bowman Point,2023-06-23
14-9023897,E,Karia,de Clerc,F,2004-02-04,United States,Product Management,29358,0.47,kdeclerc3@vinaora.com,3076014381,Professor,2821 Dakota Drive,2019-10-28
00-8314362,E,Ciro,Batie,M,1983-10-08,Haiti,Business Development,52502,0.14,cbatie4@youtube.com,1182676662,Media Manager II,3675 Utah Alley,2021-02-16
58-3345781,E,Jozef,Gawthorp,M,1992-06-20,United States,Business Development,49155,0.11,jgawthorp5@usgs.gov,7068356686,VP Product Management,211 Vera Circle,2024-06-23
27-7801766,E,Perri,Rosenhaus,F,1978-11-07,United States,Research and Development,12590,0.13,prosenhaus6@reference.com,7752786453,Desktop Support Technician,5 Welch Hill,2021-07-17
44-6549641,E,Amanda,Masedon,F,1976-10-04,United States,Accounting,54437,0.27,amasedon7@macromedia.com,4129256582,Electrical Engineer,91959 Lakewood Court,2022-06-16
87-7210605,E,Alley,Smewin,M,1976-01-30,Italy,Human Resources,56349,0.08,asmewin8@flavors.me,7394882131,Occupational Therapist,70510 Golf Junction,2022-10-16
66-1008276,E,Daveen,Proffitt,F,1981-02-27,United States,Support,72176,0.91,dproffitt9@google.it,2026276751,Financial Advisor,8300 Cambridge Terrace,2020-11-10
