id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
97-6655926,F,Heywood,Speaks,M,2003-07-05,United States,Legal,75816,0.66,hspeaks0@cornell.edu,8139188433,Teacher,85 Crescent Oaks Drive,2024-04-02
79-3781698,F,Rutledge,Slora,M,1988-09-02,United States,Legal,33180,0.13,rslora1@sciencedirect.com,5162011183,Quality Engineer,068 New Castle Pass,2021-06-21
15-2318490,F,Jenifer,Carder,F,1992-11-01,United States,Human Resources,54507,0.89,jcarder2@t.co,9135417262,Recruiting Manager,091 Eliot Street,2024-10-01
86-2640869,F,Ryun,Patterfield,M,1998-02-07,Dominican Republic,Sales,40650,0.2,rpatterfield3@vimeo.com,1514714583,Accounting Assistant I,0 Leroy Plaza,2024-06-27
51-3662457,F,Heindrick,Scarr,M,1981-03-28,United States,Engineering,22070,0.98,hscarr4@histats.com,5403596358,Professor,5 Fairfield Parkway,2019-06-07
02-4260277,F,Emanuel,Bothams,M,2002-12-22,Dominican Republic,Marketing,21108,0.64,ebothams5@nps.gov,8482919211,Human Resources Manager,4 Myrtle Junction,2023-04-13
18-9731608,F,Consuela,Dumini,F,1975-10-15,Haiti,Accounting,60222,0.93,cdumini6@ifeng.com,3909418969,Software Test Engineer III,8087 Shopko Junction,2023-01-18
81-6787276,F,Lezley,Honywill,M,1988-01-24,United States,Product Management,62677,0.04,lhonywill7@state.tx.us,8655555158,Health Coach IV,6683 Warbler Trail,2022-06-27
15-7972653,F,Waverley,Belcher,M,1998-04-27,United States,Human Resources,39906,0.15,wbelcher8@cbslocal.com,9158445007,Research Assistant III,58 Eagle Crest Crossing,2021-08-16
36-5333346,F,Dianne,Brownsell,F,1996-08-22,United States,Research and Development,74469,0.38,dbrownsell9@nyu.edu,4158679840,VP Accounting,60 Dennis Court,2023-02-26
