id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
21-8439190,G,Chan,Bomb,M,1999-08-02,United States,Services,48983,0.1,cbomb0@comcast.net,6169094258,Chemical Engineer,79297 Johnson Avenue,2023-12-23
62-9191738,G,Tonnie,Lafay,M,1979-04-26,Haiti,Engineering,44817,0.76,tlafay1@freewebs.com,5589103274,Occupational Therapist,9 Packers Court,2023-04-03
29-8881205,G,Fredek,Rulten,M,1992-03-27,United States,Marketing,38577,0.54,frulten2@163.com,9544138215,Statistician IV,4 Dawn Way,2022-01-29
52-4537395,G,Deane,Fenton,F,1992-02-27,Dominican Republic,Product Management,77038,0.53,dfenton3@smh.com.au,6626837447,Marketing Assistant,478 Haas Way,2023-09-06
36-7630517,G,Sunny,Cansdell,F,1986-12-11,United States,Support,31601,0.16,scansdell4@shareasale.com,2022728675,Computer Systems Analyst II,484 Twin Pines Avenue,2023-08-12
21-0517711,G,Jordan,Antao,M,1987-11-29,United States,Legal,37618,0.27,jantao5@instagram.com,5858179256,Research Nurse,20555 Thierer Crossing,2020-03-08
69-0699283,G,Norma,Petrozzi,F,1987-06-01,United States,Sales,73149,0.26,npetrozzi6@cafepress.com,3363388002,Mechanical Systems Engineer,66 Golf Center,2022-01-13
99-3140169,G,Frankie,Kipling,M,1979-05-16,United States,Sales,22505,0.2,fkipling7@yahoo.co.jp,4078547067,Nurse,919 Crowley Street,2024-07-02
84-9995228,G,Roi,Cozins,M,1984-04-06,Dominican Republic,Legal,13438,0.55,rcozins8@eventbrite.com,6328597167,GIS Technical Architect,4451 Cordelia Hill,2024-11-22
78-5368317,G,Tommy,Lendrem,F,1989-02-18,United States,Research and Development,53312,0.43,tlendrem9@miibeian.gov.cn,3307209305,Community Outreach Specialist,3294 Pankratz Way,2023-08-21
