id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
35-6126375,H,Ulrick,Estoile,M,1990-02-04,United States,Sales,18704,0.78,uestoile0@home.pl,5739841339,Physical Therapy Assistant,408 Mosinee Avenue,2023-05-09
43-5553068,H,Abie,Scurrey,M,1987-10-05,United States,Marketing,44652,0.51,ascurrey1@adobe.com,3181298737,Assistant Manager,949 Ronald Regan Drive,2021-09-03
35-1306564,H,Helena,Pirazzi,F,1977-07-09,United States,Human Resources,36799,0.8,hpirazzi2@prweb.com,8087193189,VP Product Management,63 Bultman Street,2024-03-30
04-7088264,H,Tomlin,Gainseford,M,1987-12-06,United States,Human Resources,21271,0.34,tgainseford3@uiuc.edu,8127190721,Help Desk Technician,2621 Eagle Crest Lane,2024-04-17
16-5172594,H,Eli,Picard,M,1991-04-19,Haiti,Product Management,43402,0.16,epicard4@smh.com.au,6689667793,VP Marketing,3751 Maryland Lane,2021-08-23
10-0613342,H,Datha,Greenhough,F,1978-08-01,United States,Accounting,39624,0.15,dgreenhough5@si.edu,2134081191,Tax Accountant,34631 Melody Way,2023-01-17
99-7227153,H,Toddy,Targett,M,1978-02-25,United States,Sales,77459,0.31,ttargett6@sun.com,7146573130,Administrative Officer,02 5th Alley,2020-10-29
23-0049207,H,Kattie,Cray,F,1991-11-02,United States,Sales,22294,0.3,kcray7@blogtalkradio.com,3165211147,Accounting Assistant IV,68 Farmco Trail,2021-12-26
22-5897994,H,Perkin,Cullagh,M,1984-02-27,United States,Business Development,29312,0.05,pcullagh8@tripod.com,6165433050,Assistant Media Planner,1472 Sheridan Lane,2019-01-27
04-4510077,H,Gerald,Ossipenko,M,2003-02-13,Dominican Republic,Research and Development,13010,0.84,gossipenko9@dedecms.com,3797952036,Chief Design Engineer,31430 Hansons Lane,2023-02-23
