id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
14-7026110,I,Eveline,Claughton,F,1989-08-15,United States,Marketing,46289,0.74,eclaughton0@forbes.com,9078743295,Mechanical Systems Engineer,14647 Sauthoff Junction,2021-06-11
99-8664666,I,Luis,Mulran,M,2005-09-10,United States,Training,14433,0.82,lmulran1@intel.com,4052375115,Project Manager,10 Sunnyside Circle,2020-08-25
59-6399780,I,Wernher,Osbourn,M,1992-04-26,United States,Accounting,37458,0.6,wosbourn2@pinterest.com,4697149403,Senior Developer,83 Mallard Center,2024-11-22
85-1089220,I,Frederico,Pigdon,M,2000-10-11,United States,Sales,35891,0.82,fpigdon3@nature.com,3169129669,Nuclear Power Engineer,1 4th Center,2019-08-02
77-1986918,I,Olivier,Khidr,M,2000-06-17,United States,Research and Development,70380,0.79,okhidr4@cocolog-nifty.com,6025770561,Quality Engineer,0 Prentice Park,2022-02-21
69-4732589,I,Madison,Torresi,M,1988-05-14,United States,Training,35892,0.41,mtorresi5@bbb.org,3183039908,VP Quality Control,515 Utah Park,2020-03-18
44-3135439,I,Justine,Cardenas,F,1993-10-27,United States,Sales,25499,0.2,jcardenas6@mtv.com,4053238606,Civil Engineer,6659 Del Sol Way,2024-04-08
33-4532106,I,Jilleen,Stebbings,F,1999-12-31,United States,Engineering,61688,0.21,jstebbings7@blog.com,5711788481,Systems Administrator I,089 Clove Center,2021-01-17
62-4197235,I,Reynold,Sabater,M,1987-01-10,United States,Product Management,13879,0.7,rsabater8@ucoz.com,3032496315,Senior Editor,736 Dennis Plaza,2019-10-22
29-0623737,I,Nicolai,Mayward,M,1991-05-04,United States,Accounting,69571,0.74,nmayward9@weibo.com,7138251457,Programmer I,68 Helena Point,2024-08-01
