id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion
34-2007879,J,Rockie,Faro,M,1996-05-20,United States,Accounting,69317,0.52,rfaro0@walmart.com,7817872545,Human Resources Manager,940 Drewry Lane,2019-05-23
81-7606557,J,Dennie,Chatel,M,1983-05-04,United States,Human Resources,74713,0.26,dchatel1@histats.com,4154234413,VP Accounting,5 Hermina Avenue,2023-09-26
90-6094406,J,Ernestus,Braidley,M,1978-06-11,United States,Human Resources,55882,0.55,ebraidley2@hibu.com,8172232339,Help Desk Operator,687 Magdeline Junction,2022-02-01
47-9054500,J,Wyatt,Gregh,M,2005-12-01,United States,Accounting,26132,0.1,wgregh3@redcross.org,6147096505,Senior Developer,6663 Utah Junction,2022-05-09
75-8118408,J,Nannette,Abriani,F,1997-12-10,United States,Services,53959,0.54,nabriani4@usgs.gov,9416505854,Help Desk Operator,07890 Dryden Court,2024-07-24
58-8445429,J,Beryle,Kenryd,F,2000-07-11,United States,Business Development,27234,0.12,bkenryd5@berkeley.edu,5184535261,VP Accounting,9 Lotheville Junction,2021-11-01
91-1361758,J,Collete,Stiles,F,1999-07-19,United States,Research and Development,66996,0.67,cstiles6@flavors.me,2068379977,VP Sales,14687 Moland Circle,2019-03-02
56-6267907,J,Hallie,Alday,F,1998-11-14,United States,Sales,24200,0.08,halday7@squarespace.com,7127635869,Senior Financial Analyst,62435 Tony Street,2020-11-07
31-2236475,J,Ray,Sprackling,M,1980-05-06,United States,Accounting,41035,0.92,rsprackling8@example.com,7072074622,Account Coordinator,1 Dottie Terrace,2022-08-14
29-7137664,J,Thaddeus,Fishbourne,M,2002-09-06,United States,Product Management,17805,0.26,tfishbourne9@hc360.com,5716111543,Assistant Manager,57300 Carpenter Trail,2021-07-11
