id,nombre,apellido,nacimiento,nacionalidad,departamento,sucursal,sexo,telefono_personal,codigo_postal,salario,comision,vehiculo_asignado,hijos,flota
40-5159364,Laurena,Basindale,1988-02-08,United States,Sales,K,F,6173215668,02162,27854,0.92,CX-9,4,5883443204
43-8666961,Jone,Naul,1999-06-15,United States,Human Resources,K,M,5021898424,40287,32006,0.78,F450,4,7092869786
08-3359811,Mina,Rosenfelt,2006-05-09,United States,Marketing,K,F,9183467993,74108,22759,0.97,Spectra,2,8504748559
40-5480729,Artair,Kelson,1989-12-10,United States,Support,K,M,4041087742,30343,45212,0.72,S40,2,4471001903
64-9432037,Ody,Affuso,1991-07-07,Haiti,Human Resources,K,M,6261731041,K,35484,0.98,Rogue,1,2046083903
85-2993638,Lucien,Mattschas,1982-10-29,United States,Services,K,M,7146370748,92725,74704,0.89,Econoline E150,3,9345744076
79-7972239,Herminia,Brookfield,1991-05-03,United States,Engineering,K,F,7638057332,55572,63737,0.49,Prius,1,2609078509
56-5604977,Ardyce,Gooderidge,2003-11-04,Haiti,Product Management,K,F,5855545247,K,32247,0.28,DBS,0,1412377682
53-5598738,Giulietta,Wigglesworth,1989-06-17,United States,Legal,K,F,3864312990,32128,68161,0.5,GT,3,6871703441
95-3931114,Hilde,Symones,2001-03-15,Dominican Republic,Product Management,K,F,5898348909,11204,17295,0.25,Eclipse,1,1834738376
