id,nombre,apellido,nacimiento,nacionalidad,departamento,sucursal,sexo,telefono_personal,codigo_postal,salario,comision,vehiculo_asignado,hijos,flota
86-7566129,Brandyn,Wraggs,1980-04-17,United States,Training,L,M,2066219879,53285,17427,0.86,Park Avenue,0,7616646309
05-5140393,Dennis,Stanlock,1982-08-21,United States,Support,L,M,3026774708,19892,64352,0.05,Quattroporte,1,7026845704
65-8990277,Janith,Fortoun,1980-01-12,United States,Engineering,L,F,2131491026,90055,78311,0.31,B-Series,3,1925352581
81-2555816,Erich,Zohrer,1989-01-16,United States,Services,L,M,8062460591,79105,43126,0.65,TL,4,1824239509
32-7274154,Weidar,Iacopetti,1988-07-29,United States,Research and Development,L,M,9546505771,33064,38614,0.23,T100,1,4563587343
82-8733224,Carmelle,Phelipeau,1982-09-13,United States,Sales,L,F,3174532755,46202,70284,0.97,Sentra,1,2384154793
26-7750002,Maximilien,Alesio,2001-07-23,Dominican Republic,Human Resources,L,M,9242261643,11805,60440,0.76,Passport,0,2036374626
12-0301057,Bartholomeus,Bussons,1983-02-23,United States,Business Development,L,M,8628693996,07195,72516,0.61,TSX,1,5347747913
82-6624786,Rhetta,Pietruszewicz,1999-01-27,United States,Research and Development,L,F,2101820320,78205,18178,0.22,Escalade ESV,0,6793027593
30-9696679,Calley,MacCulloch,1984-10-31,United States,Engineering,L,F,2566671852,36205,41515,0.99,XC70,3,7895109000
