id,nombre,apellido,nacimiento,nacionalidad,departamento,sucursal,sexo,telefono_personal,codigo_postal,salario,comision,vehiculo_asignado,hijos,flota
34-0256472,Carin,Coleyshaw,1996-01-13,United States,Support,O,F,2609044255,46862,46481,0.96,Express 1500,2,5624629204
97-1323311,Hildagard,Insko,1975-11-04,United States,Human Resources,O,F,9106093535,28405,51110,0.18,Grand Marquis,4,5691017889
35-2698868,Mora,Kinnin,2002-11-26,United States,Accounting,O,F,6262908682,91841,67335,0.5,Seville,3,9236537032
97-2136523,Zulema,Dabbes,1978-07-27,Dominican Republic,Services,O,F,5526840434,11517,33618,0.0,Silhouette,1,2282034665
80-2822904,Jill,Juan,1991-12-04,United States,Accounting,O,F,7131421959,77035,24012,0.08,Explorer Sport Trac,1,3126283977
58-3268041,Kristal,Kingcote,2001-10-11,Dominican Republic,Research and Development,O,F,6273280199,11806,19715,0.76,M-Class,4,9692180595
90-3827618,Otho,Caselli,1985-11-15,United States,Services,O,M,3236903307,90094,29267,0.58,Grand Prix,3,7897675949
78-9151673,Rupert,Barsby,1986-04-15,Haiti,Legal,O,M,2562015502,O,55874,0.98,Th!nk,0,3519162639
70-8330847,Dmitri,Delucia,1993-10-24,United States,Marketing,O,M,7147640405,93762,48442,0.67,Econoline E150,0,7794433443
38-7030185,Jocelyn,Crees,1982-04-16,United States,Accounting,O,F,2602498903,46852,20398,0.32,TL,2,7011684831
