id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion,telefono_personal,codigo_postal,vehiculo_asignado,hijos,flota
99-4094901,A,Clarisse,Vuittet,F,1977-06-18,United States,Training,24672,0.43,cvuittet0@businessweek.com,7571063213.0,Associate Professor,3 Evergreen Circle,2021-08-17,,,,,
26-6370584,A,Ludovico,Priestner,M,2006-04-19,United States,Sales,27779,0.18,lpriestner1@tinypic.com,5854735002.0,Research Associate,57 Scoville Street,2022-09-25,,,,,
52-7669688,A,Hunfredo,Carwithen,M,1979-10-05,United States,Product Management,20198,0.9,hcarwithen2@xrea.com,6103367739.0,Editor,1 Bay Center,2022-03-14,,,,,
09-6282213,A,Stacie,Rzehor,F,1986-06-17,United States,Accounting,75526,0.96,srzehor3@facebook.com,5718866132.0,Data Coordinator,2 Mesta Parkway,2019-01-18,,,,,
98-6095003,A,Alison,Ikringill,F,1984-12-26,United States,Business Development,42595,0.41,aikringill4@state.tx.us,4233238044.0,Human Resources Assistant I,0875 Jenifer Court,2023-03-13,,,,,
97-1407392,A,Broddy,Featherston,M,2000-12-22,United States,Training,14791,0.46,bfeatherston5@java.com,9016991051.0,Physical Therapy Assistant,89713 Hagan Junction,2019-10-10,,,,,
65-8192629,A,Bonni,Mattevi,F,2006-07-06,United States,Training,79834,0.76,bmattevi6@dyndns.org,4099115520.0,Legal Assistant,7981 Mallard Junction,2021-01-10,,,,,
04-1781862,A,Grenville,House,M,2001-08-15,United States,Training,31139,0.48,ghouse7@spotify.com,9011965232.0,Automation Specialist III,1 Katie Parkway,2023-08-19,,,,,
36-8995736,A,Shelby,Greensite,F,1982-01-03,United States,Product Management,59525,0.24,sgreensite8@ucoz.com,3362319924.0,Food Chemist,1 Scott Crossing,2024-09-06,,,,,
82-1705092,A,Diane-marie,Peachment,F,1991-11-03,United States,Engineering,42886,0.86,dpeachment9@sfgate.com,6195227062.0,Senior Cost Accountant,36 Fieldstone Crossing,2022-03-26,,,,,
32-1677298,B,Celinka,Hullins,F,1983-09-02,Haiti,Services,65553,0.8,chullins0@wikia.com,9832668640.0,Geologist III,0817 Grasskamp Park,2021-02-12,,,,,
18-4526273,B,Lalo,Lovstrom,M,1986-09-04,Italy,Research and Development,52760,0.79,llovstrom1@mac.com,2896221040.0,Social Worker,2958 Orin Terrace,2021-10-16,,,,,
09-2503252,B,Karry,Richten,F,1975-05-18,United States,Marketing,28383,0.36,krichten2@tuttocitta.it,8169747184.0,Health Coach III,2230 Shoshone Drive,2022-04-13,,,,,
24-8238298,B,Jelene,D'Avaux,F,1992-02-17,Dominican Republic,Training,14407,0.66,jdavaux3@marketwatch.com,8579029502.0,Health Coach III,6 Algoma Road,2021-11-16,,,,,
89-4372466,B,Munmro,Powers,M,1994-05-29,United States,Sales,18809,0.07,mpowers4@altervista.org,7208158950.0,Structural Engineer,14590 Spohn Drive,2023-01-16,,,,,
65-5729756,B,Mead,Laffoley-Lane,M,2006-10-17,United States,Human Resources,57369,0.26,mlaffoleylane5@ovh.net,7042522160.0,Mechanical Systems Engineer,029 Golf View Lane,2021-02-21,,,,,
24-1068083,B,Daisi,Doel,F,1980-05-01,United States,Accounting,22986,0.78,ddoel6@blogs.com,4787203651.0,Assistant Professor,2 Towne Center,2022-04-25,,,,,
69-9087468,B,Debi,Lounds,F,1985-08-13,United States,Engineering,58018,0.97,dlounds7@deviantart.com,9148777898.0,Design Engineer,03218 Kropf Avenue,2024-11-12,,,,,
14-8312422,B,Nonah,Filipychev,F,1988-01-31,Haiti,Support,42026,0.23,nfilipychev8@archive.org,2861912105.0,Marketing Manager,1641 Summerview Hill,2021-06-10,,,,,
23-0714269,B,Rodrigo,Shearston,M,2000-06-12,United States,Research and Development,77475,0.47,rshearston9@stanford.edu,5155035639.0,Health Coach II,76 Express Junction,2020-11-28,,,,,
93-6058074,C,Alden,Poone,M,1985-01-02,United States,Support,32860,0.21,apoone0@flickr.com,8624335696.0,Professor,742 Sunfield Parkway,2020-04-15,,,,,
87-0840678,C,Marchelle,Bayman,F,1987-03-14,United States,Accounting,21597,0.86,mbayman1@mac.com,6146153790.0,Assistant Media Planner,14304 North Place,2021-12-07,,,,,
04-3513015,C,Katee,Laviste,F,1978-09-18,United States,Legal,60236,0.99,klaviste2@bloglovin.com,6081024008.0,Product Engineer,41 Carberry Place,2019-05-20,,,,,
77-1965576,C,Sawyere,Jimmison,M,1975-09-05,Italy,Engineering,79871,0.62,sjimmison3@rambler.ru,4633216770.0,Clinical Specialist,366 Lawn Park,2019-11-25,,,,,
13-9631853,C,Christin,Bowlesworth,F,1976-10-14,United States,Sales,78710,0.63,cbowlesworth4@barnesandnoble.com,8168257957.0,Nurse Practicioner,9754 Glendale Lane,2024-06-29,,,,,
07-1716470,C,Cristin,Siddens,F,1977-04-10,United States,Human Resources,26207,0.62,csiddens5@timesonline.co.uk,7274912667.0,Associate Professor,01689 Barnett Junction,2019-04-04,,,,,
