id_venta,fecha_pedido,fecha_envio,nombre_cliente,apellido_cliente,correo_cliente,telefono_cliente,nacionalidad_cliente,vendedor,producto,cantidad,monto,impuesto,tipo_tarjeta,no_tarjeta
1,2024-07-10,2024-04-03,Carroll,Ellam,cellam0@indiegogo.com,3179006003,Dominican Republic,79-3781698,Muskox - French Rack,2,11171,0.853,mastercard,5108750280942202
2,2024-04-19,2024-02-03,Eugene,Thombleson,ethombleson1@google.co.jp,6515477301,United States,56-6267907,Potatoes - Mini White 3 Oz,9,12727,0.101,mastercard,5048373111334391
3,2024-07-31,2024-01-05,Eda,Jendricke,ejendricke2@howstuffworks.com,3102628103,United States,90-3763598,Plasticforkblack,3,5845,0.781,mastercard,5048371971212640
4,2024-11-02,2024-06-08,Danice,Spincks,dspincks3@acquirethisname.com,9585778247,Mexico,46-2060669,Mcguinness - Blue Curacao,8,11100,0.238,mastercard,5048377919190061
5,2024-03-22,2024-06-28,Susanna,Ricciardello,sricciardello4@purevolume.com,6222419749,Mexico,35-1306564,Beef - Tenderloin - Aa,6,7431,0.693,mastercard,5108750831900162
6,2024-09-14,2024-04-19,Fran,Embra,fembra5@state.tx.us,2142812663,United States,29-0623737,Swiss Chard - Red,4,11161,0.945,mastercard,5108752906597600
7,2024-10-26,2024-07-14,Grayce,Garlicke,ggarlicke6@chronoengine.com,7014267024,United States,52-4537395,Parsnip,3,10848,0.757,mastercard,5108758235809095
8,2024-07-30,2024-07-24,Allsun,Chanders,achanders7@odnoklassniki.ru,8282384647,United States,05-5140393,Coconut - Whole,8,12948,0.896,mastercard,5048373302278209
9,2024-04-08,2024-02-19,Essa,Beams,ebeams8@auda.org.au,9345960403,Mexico,26-6370584,Appetizer - Crab And Brie,5,5931,0.601,mastercard,5108750790129936
10,2024-04-21,2024-04-04,Juditha,Balbeck,jbalbeck9@myspace.com,5421869391,Mexico,90-3827618,Bread Country Roll,9,5910,0.451,mastercard,5108759788171180
11,2024-04-06,2024-10-04,Dorolisa,McCourt,dmccourta@ft.com,9159674472,United States,78-9151673,Temperature Recording Station,7,13971,0.496,mastercard,5048371970500698
12,2024-03-29,2024-10-30,Monah,Annwyl,mannwylb@accuweather.com,4807594286,United States,14-9023897,Wine - Tio Pepe Sherry Fino,1,6257,0.374,mastercard,5048373586693081
13,2024-01-02,2024-02-16,Vivien,MacInnes,vmacinnesc@biglobe.ne.jp,6502145653,United States,98-6095003,Wine - Zonnebloem Pinotage,7,13254,0.275,mastercard,5048376772736044
14,2024-10-27,2024-09-23,Angeli,Drever,adreverd@newyorker.com,5737344670,United States,65-5729756,Chocolate - Dark,5,8371,0.15,mastercard,5048378583085223
15,2024-11-02,2024-07-08,Tova,Fitzjohn,tfitzjohne@t-online.de,5033808949,Mexico,13-9631853,Cheese - Marble,6,10222,0.714,mastercard,5108752640892168
16,2024-03-11,2024-08-11,Laureen,Leijs,lleijsf@gravatar.com,8604718518,United States,93-6058074,Nut - Macadamia,2,13345,0.993,mastercard,5048372385421561
17,2024-07-13,2024-02-22,Danyette,Hengoed,dhengoedg@fema.gov,1908821036,Colombia,43-5553068,"Pepper - Paprika, Hungarian",5,12376,0.198,mastercard,5048379446134216
18,2024-07-13,2024-07-20,Shandie,Paddington,spaddingtonh@wufoo.com,7689335548,Colombia,91-1361758,Chinese Foods - Cantonese,2,7554,0.67,mastercard,5048374880301173
19,2024-01-21,2024-09-05,Gram,Gier,ggieri@geocities.jp,5153234483,United States,78-9151673,Cookies Cereal Nut,10,12113,0.599,mastercard,5108752816414821
20,2024-07-19,2024-10-31,Adella,Hake,ahakej@pcworld.com,9718495517,United States,14-7026110,Wine - Magnotta - Belpaese,2,11182,0.217,mastercard,5108753104940170
21,2024-11-17,2024-09-24,Gillan,Patemore,gpatemorek@soup.io,3164560442,United States,82-6624786,Sunflower Seed Raw,7,10283,0.285,mastercard,5108759769069072
22,2024-02-05,2024-07-01,Nataniel,Oulett,noulettl@theatlantic.com,1208264678,Mexico,07-1716470,Glucose,2,11421,0.88,mastercard,5108757778130406
23,2024-11-13,2024-08-13,Gilligan,Lowne,glownem@zdnet.com,2145604035,United States,65-9086309,Praline Paste,5,11613,0.446,mastercard,5048371973367731
24,2024-10-13,2024-04-15,Robbie,Braksper,rbrakspern@home.pl,3042501592,United States,36-7630517,"Split Peas - Yellow, Dry",4,8282,0.236,mastercard,5108751637623545
25,2024-08-31,2024-06-26,Krista,Hartzenberg,khartzenbergo@stanford.edu,9033982949,Colombia,04-3513015,Butcher Twine 4r,4,3593,0.455,mastercard,5108755818498882
26,2024-05-11,2024-10-20,Charis,Playfoot,cplayfootp@hibu.com,4144027925,United States,73-1937833,Red Currants,1,4397,0.469,mastercard,5108752341590889
27,2024-06-06,2024-10-05,Curcio,Jinkin,cjinkinq@hatena.ne.jp,5983694085,Mexico,95-3931114,Lettuce - Boston Bib - Organic,5,8234,0.607,mastercard,5048374710385156
28,2024-09-24,2024-07-24,Law,Colt,lcoltr@surveymonkey.com,7862512495,United States,09-6442939,Amarula Cream,3,3721,0.375,mastercard,5108752048316372
