id_venta,fecha_pedido,fecha_envio,nombre_cliente,apellido_cliente,correo_cliente,telefono_cliente,nacionalidad_cliente,vendedor,producto,cantidad,monto,impuesto,tipo_tarjeta,no_tarjeta
1,2024-02-11,2024-07-12,Elka,Langmaid,elangmaid0@baidu.com,4128502245,United States,36-8995736,Muffin Hinge - 211n,5,5495,0.637,mastercard,5108753334492331
2,2024-08-09,2024-01-07,Darwin,Skydall,dskydall1@myspace.com,4874827650,Mexico,46-2060669,"Coconut - Shredded, Sweet",8,3363,0.954,mastercard,5108752419972829
3,2024-09-27,2024-05-25,Carolyne,Fretson,cfretson2@vinaora.com,8069490112,Mexico,90-6094406,"Lamb - Whole, Fresh",6,7186,0.582,mastercard,5108753804334658
4,2024-09-07,2024-02-04,Alfi,Margaret,amargaret3@artisteer.com,3437916486,Colombia,14-7026110,Wine - Riesling Dr. Pauly,4,4709,0.265,mastercard,5048370536468507
5,2024-08-13,2024-02-11,Truman,Littrick,tlittrick4@hexun.com,9927211712,Colombia,29-0623737,"Gin - Gilbeys London, Dry",9,6662,0.164,mastercard,5108755043656676
6,2024-09-21,2024-01-09,Theresita,Ferryman,tferryman5@ihg.com,4795855069,Colombia,15-7972653,Tart - Lemon,10,6206,0.663,mastercard,5108757093323975
7,2024-01-01,2024-10-24,Prissie,Spering,pspering6@mtv.com,8839772072,Colombia,85-2993638,"Pepper - Green, Chili",6,6769,0.755,mastercard,5108757033906327
8,2024-10-07,2024-02-04,Torie,Rowcastle,trowcastle7@sphinn.com,1423325055,Colombia,10-0019811,Cheese - Cheddar With Claret,4,3675,0.861,mastercard,5048373554704332
9,2024-01-21,2024-10-11,Dalton,Gaber,dgaber8@imdb.com,8481762005,Colombia,18-4327173,"Shrimp - Baby, Warm Water",7,8393,0.061,mastercard,5048378202759463
10,2024-09-11,2024-05-15,Maurizia,Oswick,moswick9@photobucket.com,8849609003,Dominican Republic,72-1063019,Squash - Acorn,6,12343,0.423,mastercard,5048379394985775
11,2024-03-10,2024-07-04,Siusan,Harkes,sharkesa@trellian.com,8931365984,Mexico,22-5211774,Iced Tea Concentrate,6,12634,0.674,mastercard,5048371768526558
