id_venta,fecha_pedido,fecha_envio,nombre_cliente,apellido_cliente,correo_cliente,telefono_cliente,nacionalidad_cliente,vendedor,producto,cantidad,monto,impuesto,tipo_tarjeta,no_tarjeta
1,2024-01-28,2024-05-15,Agna,Whiteside,awhiteside0@cisco.com,8053167385,United States,23-0049207,Pears - Fiorelle,9,10831,0.936,mastercard,5108753635905759
2,2024-06-05,2024-11-22,Caz,Dunford,cdunford1@cdc.gov,7326851314,Colombia,12-0301057,"Shrimp - 16 - 20 Cooked, Peeled",2,10278,0.766,mastercard,5048379437207617
3,2024-09-27,2024-09-10,Glory,Bonnett,gbonnett2@army.mil,6056151219,United States,44-3478985,Monkfish - Fresh,4,5143,0.043,mastercard,5048371334521240
4,2024-07-14,2024-06-24,Jocelyn,O'Haire,johaire3@ebay.co.uk,6087346245,United States,04-2721911,"Beer - Alexander Kieths, Pale Ale",1,3848,0.978,mastercard,5048377903514938
5,2024-02-28,2024-03-11,Wendeline,Crate,wcrate4@businessweek.com,6618668231,United States,10-0613342,Sun - Dried Tomatoes,2,11745,0.287,mastercard,5048372975167731
6,2024-09-05,2024-11-26,Noach,Demead,ndemead5@123-reg.co.uk,8104352346,Colombia,78-5459961,"Potatoes - Instant, Mashed",8,5968,0.737,mastercard,5108758307491095
7,2024-11-20,2024-10-24,Brodie,Tippler,btippler6@wunderground.com,3544259932,Colombia,81-6787276,"Oil - Truffle, White",7,4929,0.866,mastercard,5108759714851038
8,2024-08-09,2024-03-21,Elianora,Plumbridge,eplumbridge7@shop-pro.jp,2397118523,Colombia,81-2555816,French Kiss Vanilla,8,10236,0.759,mastercard,5048377074773339
9,2024-06-01,2024-09-25,Joelly,Coulthurst,jcoulthurst8@ucoz.ru,3377036791,United States,73-7638593,Pear - Halves,10,12077,0.208,mastercard,5048375399510618
10,2024-05-25,2023-12-21,Kissiah,Locks,klocks9@china.com.cn,5509812419,Mexico,12-1816115,"Cheese - Cheddar, Medium",9,5463,0.059,mastercard,5048376354538370
