id_venta,fecha_pedido,fecha_envio,nombre_cliente,apellido_cliente,correo_cliente,telefono_cliente,nacionalidad_cliente,vendedor,producto,cantidad,monto,impuesto,tipo_tarjeta,no_tarjeta
1,2024-08-30,2024-11-12,Dinny,Guillond,dguillond0@ning.com,7036848703,United States,97-2136523,"Pork - Tenderloin, Fresh",5,10861,0.904,mastercard,5048379077471424
2,2024-10-08,2024-08-18,Stefano,Wooffitt,swooffitt1@google.com,2485159104,Mexico,08-3359811,"Yeast - Fresh, Fleischman",1,12027,0.832,mastercard,5108752447696424
3,2024-07-31,2024-05-20,Chelsie,Vials,cvials2@hostgator.com,2294773511,United States,00-8314362,Sugar - Cubes,6,8177,0.902,mastercard,5108758180321161
4,2024-09-21,2024-08-16,Janifer,Durbin,jdurbin3@joomla.org,9137103955,Mexico,58-3345781,Icecream Cone - Areo Chocolate,7,7540,0.458,mastercard,5048376501270406
5,2024-09-19,2024-04-01,Jehanna,Amort,jamort4@about.me,3106700644,United States,79-3781698,Pate Pans Yellow,1,4046,0.291,mastercard,5108757221713089
6,2024-05-31,2024-11-05,Mal,Silber,msilber5@noaa.gov,2025883148,United States,61-1074040,Turkey Tenderloin Frozen,1,7913,0.433,mastercard,5108750013858675
7,2024-10-22,2024-07-29,Alikee,Cottell,acottell6@lycos.com,7721652650,United States,37-8092889,Beef - Flank Steak,6,9430,0.309,mastercard,5048377040261526
8,2024-07-30,2024-10-21,Meredith,Mounsey,mmounsey7@home.pl,9245896322,Colombia,04-1781862,Sauce - Roasted Red Pepper,1,6250,0.717,mastercard,5048376038401433
9,2024-03-10,2024-11-27,Kata,Birkmyre,kbirkmyre8@discovery.com,2937787359,Colombia,79-7972239,Wine - Two Oceans Cabernet,3,11428,0.501,mastercard,5108759009577447
10,2024-09-18,2024-05-27,Nannette,Ledur,nledur9@nationalgeographic.com,6026834412,United States,81-6787276,"Chicken - Leg, Fresh",10,3844,0.672,mastercard,5108750806265690
11,2024-09-23,2024-07-05,Lyle,Hendrix,lhendrixa@dion.ne.jp,5011622320,United States,12-1404658,Goldschalger,9,4144,0.579,mastercard,5048375223244566
12,2024-11-28,2023-12-26,Ingrid,Roden,irodenb@tripadvisor.com,3189471923,United States,44-3478985,Glaze - Apricot,10,3289,0.712,mastercard,5108752706287527
13,2024-11-23,2024-01-27,Chancey,McParlin,cmcparlinc@360.cn,5016256078,United States,04-5323286,Muffin Hinge - 211n,6,7460,0.533,mastercard,5108758418253780
14,2024-09-27,2024-09-04,Thain,Blondel,tblondeld@google.ru,1507073357,Colombia,04-1781862,Bay Leaf Ground,8,11788,0.546,mastercard,5108752349766747
