id_venta,fecha_pedido,fecha_envio,nombre_cliente,apellido_cliente,correo_cliente,telefono_cliente,nacionalidad_cliente,vendedor,producto,cantidad,monto,impuesto,tipo_tarjeta,no_tarjeta
1,2024-10-18,2024-05-26,Antoni,Cana,acana0@about.com,9152687016,United States,93-3232477,Langers - Ruby Red Grapfruit,8,11185,0.447,mastercard,5108758057162524
2,2024-05-15,2024-01-11,Sal,Brims,sbrims1@ucla.edu,1313753210,Mexico,53-5598738,Mushroom - Lg - Cello,10,3882,0.173,mastercard,5048377473874407
3,2024-04-20,2024-01-18,Jud,Froggatt,jfroggatt2@loc.gov,8164161991,United States,58-3268041,Clam - Cherrystone,3,5542,0.18,mastercard,5108757132363818
4,2024-11-09,2024-02-24,Cliff,Thrush,cthrush3@ucoz.com,5717984849,Italy,70-8330847,Oats Large Flake,9,11771,0.83,mastercard,5108758906028512
5,2024-08-21,2024-05-18,Alis,Mossdale,amossdale4@berkeley.edu,4609071341,Mexico,97-1407392,"Yogurt - Strawberry, 175 Gr",5,13322,0.312,mastercard,5108758568577434
6,2024-04-24,2024-03-29,Clarinda,Feacham,cfeacham5@google.pl,8436401297,Dominican Republic,13-3806571,"Turkey - Whole, Fresh",6,3692,0.335,mastercard,5048378418680685
7,2024-04-15,2024-11-14,August,Barbrook,abarbrook6@un.org,7133764164,United States,12-1404658,"Beef - Bones, Cut - Up",6,13579,0.547,mastercard,5108750028003416
8,2024-01-15,2024-03-31,Dorrie,Poore,dpoore7@cocolog-nifty.com,3385386548,Colombia,36-5333346,Hot Choc Vending,9,4584,0.415,mastercard,5108759928072702
9,2024-08-30,2024-06-11,Pris,Edmundson,pedmundson8@oracle.com,3165700768,United States,81-2555816,Sea Bass - Whole,3,8816,0.812,mastercard,5108756392963770
10,2024-08-31,2024-03-09,Joela,Da Costa,jdacosta9@state.tx.us,7228398938,Colombia,44-3135439,"Tortillas - Flour, 8",5,13295,0.493,mastercard,5048373948156900
11,2024-02-20,2024-03-25,Rolf,Cotillard,rcotillarda@nydailynews.com,3553248871,Colombia,14-7026110,Jolt Cola,10,13105,0.677,mastercard,5048375321633314
12,2024-09-17,2023-12-24,Anne-corinne,Bawme,abawmeb@biblegateway.com,6144500068,United States,24-8238298,Foam Dinner Plate,5,12654,0.164,mastercard,5108759314093346
13,2024-02-09,2024-02-14,Yelena,Solloway,ysollowayc@youtu.be,9211994918,Colombia,40-5159364,Clams - Canned,6,5188,0.674,mastercard,5108752230287597
14,2024-05-26,2023-12-08,Del,O'Gormally,dogormallyd@thetimes.co.uk,2749479057,Colombia,78-9151673,Soup Campbells Turkey Veg.,2,6219,0.668,mastercard,5048379267416171
15,2024-09-26,2024-08-12,Nomi,Ashburner,nashburnere@seesaa.net,9514469878,United States,93-3232477,Pimento - Canned,7,4756,0.197,mastercard,5108750257030460
16,2024-08-24,2024-04-29,Coletta,Blanshard,cblanshardf@discovery.com,2403987671,Colombia,52-7669688,Canadian Emmenthal,7,7063,0.467,mastercard,5108752434044901
17,2024-02-16,2024-04-21,Krystyna,Caron,kcarong@samsung.com,8754357569,Colombia,79-3781698,Goldschalger,10,5080,0.973,mastercard,5108750886297928
18,2024-04-18,2024-07-23,Celle,Butson,cbutsonh@nymag.com,1306279301,Colombia,37-8092889,Puree - Strawberry,1,13546,0.913,mastercard,5048378096528099
19,2024-02-14,2024-02-19,Tiebout,Stainsby,tstainsbyi@smugmug.com,5259308684,Mexico,21-0517711,"Veal - Leg, Provimi - 50 Lb Max",10,6007,0.555,mastercard,5048379598742154
20,2024-07-04,2024-03-17,Cal,Meatcher,cmeatcherj@moonfruit.com,2245289604,Mexico,98-6095003,"Pasta - Shells, Medium, Dry",3,13677,0.699,mastercard,5048376568593666
21,2024-07-03,2024-05-26,Adaline,Ablett,aablettk@wordpress.com,3298204604,Colombia,78-9151673,Wine - Barolo Fontanafredda,10,5085,0.412,mastercard,5048378266894867
22,2024-11-04,2024-07-31,Kerrin,Leng,klengl@sourceforge.net,4693707834,United States,32-7274154,Cookie Dough - Peanut Butter,9,8136,0.683,mastercard,5048371832641094
23,2024-10-06,2024-11-06,Luise,Galbreth,lgalbrethm@huffingtonpost.com,9153090020,United States,97-6655926,"Trout - Rainbow, Frozen",7,11279,0.547,mastercard,5048371888565288
24,2024-11-01,2024-04-13,Ede,Duckwith,educkwithn@yahoo.co.jp,3323205758,Mexico,82-1705092,Glove - Cutting,10,8869,0.434,mastercard,5108757437418515
25,2024-09-03,2024-11-18,Orazio,Suerz,osuerzo@ning.com,7745305573,Mexico,70-8572197,Wonton Wrappers,8,7281,0.732,mastercard,5108751650841834
26,2024-02-16,2024-07-31,Marnia,Bosche,mboschep@woothemes.com,2037032531,United States,04-2721911,Arizona - Plum Green Tea,6,5704,0.178,mastercard,5108757704112320
27,2024-05-24,2024-01-02,Heall,Batthew,hbatthewq@sphinn.com,7579653429,United States,50-9573003,Bread - 10 Grain Parisian,6,11098,0.629,mastercard,5048377077351232
28,2024-01-24,2024-08-19,Linda,Bladder,lbladderr@msu.edu,9159120555,United States,36-7630517,Mince Meat - Filling,6,10568,0.106,mastercard,5048370723860268
29,2024-10-18,2023-12-07,Charlean,Cawthera,ccawtheras@skyrock.com,8813412900,Colombia,90-3763598,Water - Tonic,2,4338,0.874,mastercard,5048370631306537
30,2024-03-14,2024-04-08,Judon,Tims,jtimst@army.mil,7731710625,United States,51-3662457,Longos - Chicken Cordon Bleu,1,8479,0.444,mastercard,5108757724548123
31,2024-06-11,2024-09-24,Ines,Percifer,iperciferu@freewebs.com,2774328913,Mexico,25-0830003,Skirt - 24 Foot,3,3186,0.787,mastercard,5108754272551526
32,2024-11-03,2024-10-19,Maddy,Heake,mheakev@deliciousdays.com,2004477467,Colombia,71-5393627,"Champagne - Brights, Dry",2,3397,0.859,mastercard,5048376809702498
33,2024-04-16,2024-08-16,Marten,Critch,mcritchw@wikipedia.org,1544533893,Colombia,25-0830003,Bread Ww Cluster,9,9211,0.022,mastercard,5108758419701332
34,2024-06-24,2023-12-16,Bennie,Domanek,bdomanekx@hc360.com,1829122326,Mexico,33-9247082,Mint - Fresh,9,5727,0.706,mastercard,5108758733775517
35,2024-09-05,2024-03-01,Mirelle,McNabb,mmcnabby@sitemeter.com,7639023619,United States,08-3359811,"Trout - Hot Smkd, Dbl Fillet",5,5822,0.2,mastercard,5108751072831561
36,2024-01-07,2024-02-20,Abdel,Kemshell,akemshellz@usgs.gov,8589750008,United States,95-3931114,"Lobster - Baby, Boiled",1,6057,0.515,mastercard,5108759164024953
37,2024-09-16,2024-08-13,Durant,Ortiger,dortiger10@artisteer.com,5946900683,Colombia,97-1407392,"Beer - Alexander Kieths, Pale Ale",4,7633,0.666,mastercard,5108751447338623
38,2024-10-09,2024-05-08,Van,Dusting,vdusting11@sakura.ne.jp,7171587004,United States,50-3148448,"Wine - Red, Cooking",8,8803,0.024,mastercard,5048377244199282
39,2024-10-31,2024-10-31,Shayne,Elms,selms12@woothemes.com,1861631897,Colombia,81-7606557,Dried Cranberries,2,3771,0.61,mastercard,5108759151930105
40,2024-10-15,2024-05-31,Ronda,Foley,rfoley13@phpbb.com,3037630177,United States,85-2993638,Haggis,1,8766,0.702,mastercard,5108750481159978
